id,title,artist_name,artist_uri,genres,image,last_fm_uri
22544c6b-ab8b-3313-9ed8-bea569ca2e2a,Save Yourself,Sense Field,https://www.last.fm/music/Sense+Field,"rock, alternative rock, roswell, indie, emo",,https://www.last.fm/music/Sense+Field/_/Save+Yourself
1b6f3353-6caf-40e3-92ca-c4bf982169b9,All I Want,Toad The Wet Sprocket,https://www.last.fm/music/Toad+The+Wet+Sprocket,"90s, alternative, alternative rock, rock, toad the wet sprocket",,https://www.last.fm/music/Toad+The+Wet+Sprocket/_/All+I+Want
1b1aa9bc-6f5f-43a6-9a0d-363a5173aa50,3 Nights,Dominic Fike,https://www.last.fm/music/Dominic+Fike,"pop, indie pop, alternative pop, alternative, love this",,https://www.last.fm/music/Dominic+Fike/_/3+Nights
b5cec7d5-1ad0-44e6-9534-54f8870f3d1f,I Won't Give Up,Jason Mraz,https://www.last.fm/music/Jason+Mraz,"pop, Love, indie, jason mraz, 10s",,https://www.last.fm/music/Jason+Mraz/_/I+Won%27t+Give+Up
30de5339-f031-4e1e-8c66-6776f6d8f498,I Gotta Feeling,Black Eyed Peas,https://www.last.fm/music/Black+Eyed+Peas,"pop, dance, black eyed peas, electronic, hip hop",,https://www.last.fm/music/Black+Eyed+Peas/_/I+Gotta+Feeling
e2bc6cc7-eae4-4d8f-bb65-b31b50855f10,Can't Take My Eyes Off you,Morten Harket,https://www.last.fm/music/Morten+Harket,"Soundtrack, cover, oldies, Coneheads, Love",,https://www.last.fm/music/Morten+Harket/_/Can%27t+Take+My+Eyes+Off+you
91e82431-2526-4b31-ab24-20bde732881a,September,"Earth, Wind ","https://www.last.fm/music/Earth,+Wind+","70s, Disco, funk, party",,"https://www.last.fm/music/Earth,+Wind+/_/September"
b4dc3464-5ca9-4c99-ae2d-9d8960996d62,Pretty Baby,Sister Sledge,https://www.last.fm/music/Sister+Sledge,"Disco, soul, funk, dance, RB",,https://www.last.fm/music/Sister+Sledge/_/Pretty+Baby
01ea3f57-b14a-3fac-9193-93488686be40,Sweet Sticky Thing,Ohio Players,https://www.last.fm/music/Ohio+Players,"funk, soul, ohio players, 70s, rnb",,https://www.last.fm/music/Ohio+Players/_/Sweet+Sticky+Thing
dd632bad-2db6-439e-9111-781af95126cc,Closer to Free,BoDeans,https://www.last.fm/music/BoDeans,"90s, rock, alternative rock, alternative, pop rock",,https://www.last.fm/music/BoDeans/_/Closer+to+Free
